Rank ,Puzzles , AMT (s)  ,Solved rate   ,1-sigma Mean (s)   , 1-sigma STD (s)   ,nums
 1139, 2  6  9  12 , 14.75, 82.9%, 13.8, 6.61,"[2, 6, 9, 12]"
 1140, 3  3  4  13 , 14.76, 76.5%, 12.41, 6.83,"[3, 3, 4, 13]"
 1141, 5  6  6  12 , 14.86, 80.7%, 13.59, 6.12,"[5, 6, 6, 12]"
 1142, 5  9  9  12 , 14.87, 75.9%, 13.12, 6.76,"[5, 9, 9, 12]"
 1143, 4  4  4  10 , 14.88, 77%, 12.81, 6.47,"[4, 4, 4, 10]"
 1144, 6  10  10  13 , 14.9, 69.2%, 11.09, 6.2,"[6, 10, 10, 13]"
 1145, 2  2  3  4 , 14.95, 77.2%, 13.11, 6.07,"[2, 2, 3, 4]"
 1146, 3  4  10  10 , 14.95, 75.5%, 12.97, 6.1,"[3, 4, 10, 10]"
 1147, 3  6  11  13 , 14.97, 73%, 11.53, 6.88,"[3, 6, 11, 13]"
 1148, 2  2  5  10 , 15.01, 78.7%, 13.56, 5.82,"[2, 2, 5, 10]"
 1149, 2  5  9  11 , 15.01, 76.4%, 13.22, 6.96,"[2, 5, 9, 11]"
 1150, 1  5  11  12 , 15.08, 71.2%, 11.47, 6.18,"[1, 5, 11, 12]"
 1151, 2  2  7  7 , 15.1, 69.9%, 11.43, 6.07,"[2, 2, 7, 7]"
 1152, 3  6  8  13 , 15.1, 81.4%, 14.45, 6.29,"[3, 6, 8, 13]"
 1153, 4  7  8  12 , 15.17, 79.4%, 13.97, 6.72,"[4, 7, 8, 12]"
 1154, 3  3  9  10 , 15.21, 77.9%, 13.68, 6.17,"[3, 3, 9, 10]"
 1155, 5  7  8  10 , 15.21, 70.9%, 12.26, 5.72,"[5, 7, 8, 10]"
 1156, 3  6  8  12 , 15.25, 80.5%, 13.92, 6.2,"[3, 6, 8, 12]"
 1157, 2  4  10  11 , 15.33, 79.4%, 14.18, 6.57,"[2, 4, 10, 11]"
 1158, 3  6  6  13 , 15.34, 72.7%, 12.2, 6.49,"[3, 6, 6, 13]"
 1159, 1  4  4  6 , 15.39, 79.5%, 13.58, 6.79,"[1, 4, 4, 6]"
 1160, 5  5  5  12 , 15.44, 67.5%, 10.29, 6.39,"[5, 5, 5, 12]"
 1161, 2  5  8  8 , 15.45, 71.4%, 11.85, 6.71,"[2, 5, 8, 8]"
 1162, 7  9  12  12 , 15.49, 64.3%, 9.53, 5.62,"[7, 9, 12, 12]"
 1163, 4  6  8  10 , 15.53, 76.1%, 12.87, 7.73,"[4, 6, 8, 10]"
 1164, 2  6  11  12 , 15.65, 77.6%, 14.13, 6.47,"[2, 6, 11, 12]"
 1165, 1  5  5  10 , 15.71, 71.1%, 11.83, 7.08,"[1, 5, 5, 10]"
 1166, 5  7  12  12 , 15.8, 66.1%, 10.57, 6.28,"[5, 7, 12, 12]"
 1167, 2  3  8  10 , 15.86, 82.3%, 15.18, 6.64,"[2, 3, 8, 10]"
 1168, 3  3  8  13 , 15.87, 69.8%, 11.47, 6.29,"[3, 3, 8, 13]"
 1169, 2  5  5  9 , 15.88, 78.7%, 14.54, 6.02,"[2, 5, 5, 9]"
 1170, 4  5  7  13 , 15.89, 72.6%, 12.6, 6.36,"[4, 5, 7, 13]"
 1171, 7  7  7  12 , 15.98, 65%, 9.13, 6.17,"[7, 7, 7, 12]"
 1172, 1  3  12  13 , 16.04, 75.9%, 13.72, 6.88,"[1, 3, 12, 13]"
 1173, 2  3  6  7 , 16.12, 81%, 15.13, 6.72,"[2, 3, 6, 7]"
 1174, 1  3  8  10 , 16.13, 71%, 12.43, 6.54,"[1, 3, 8, 10]"
 1175, 4  7  8  11 , 16.44, 68.5%, 10.95, 6.74,"[4, 7, 8, 11]"
 1176, 5  6  9  13 , 16.47, 68.8%, 12.59, 6.21,"[5, 6, 9, 13]"
 1177, 2  6  10  11 , 16.52, 73.4%, 13.69, 7,"[2, 6, 10, 11]"
 1178, 3  10  11  13 , 16.55, 71.4%, 13.46, 6.37,"[3, 10, 11, 13]"
 1179, 6  10  11  12 , 16.57, 69.8%, 13.16, 6.32,"[6, 10, 11, 12]"
 1180, 2  2  6  7 , 16.62, 72.5%, 13.23, 6.98,"[2, 2, 6, 7]"
 1181, 4  9  9  12 , 16.62, 71.6%, 13.56, 6.63,"[4, 9, 9, 12]"
 1182, 5  5  6  8 , 16.77, 78.2%, 15.02, 6.64,"[5, 5, 6, 8]"
 1183, 2  6  6  9 , 16.79, 72.7%, 13.21, 6.67,"[2, 6, 6, 9]"
 1184, 1  4  10  12 , 16.86, 72.1%, 12.95, 6.68,"[1, 4, 10, 12]"
 1185, 6  8  9  10 , 16.88, 71.1%, 13, 7.33,"[6, 8, 9, 10]"
 1186, 1  3  11  12 , 16.93, 75.8%, 14.59, 7.55,"[1, 3, 11, 12]"
 1187, 3  9  9  13 , 16.94, 67.3%, 12.26, 6.2,"[3, 9, 9, 13]"
 1188, 2  3  7  10 , 17.06, 76.9%, 15.04, 6.84,"[2, 3, 7, 10]"
 1189, 2  4  4  9 , 17.1, 73.5%, 13.67, 7.53,"[2, 4, 4, 9]"
 1190, 2  3  7  7 , 17.14, 76.6%, 15.29, 6.67,"[2, 3, 7, 7]"
 1191, 2  7  10  10 , 17.17, 67.9%, 13.45, 5.85,"[2, 7, 10, 10]"
 1192, 6  6  9  10 , 17.18, 70.1%, 13.52, 6.96,"[6, 6, 9, 10]"
 1193, 2  2  9  12 , 17.33, 72.9%, 15.02, 6.44,"[2, 2, 9, 12]"
 1194, 6  6  6  10 , 17.37, 66.2%, 11.66, 6.62,"[6, 6, 6, 10]"
 1195, 8  8  8  11 , 17.44, 63.2%, 10.41, 6.15,"[8, 8, 8, 11]"
 1196, 10  12  12  12 , 17.48, 64.1%, 10.42, 5.89,"[10, 12, 12, 12]"
 1197, 5  7  7  10 , 17.57, 67.7%, 13.32, 6.58,"[5, 7, 7, 10]"
 1198, 3  5  8  9 , 17.64, 75.7%, 15.76, 7.56,"[3, 5, 8, 9]"
 1199, 3  5  7  12 , 17.94, 71%, 14.32, 7.93,"[3, 5, 7, 12]"
 1200, 3  6  8  10 , 17.97, 66.4%, 12.19, 6.97,"[3, 6, 8, 10]"
 1201, 3  8  9  13 , 17.98, 73.5%, 15.44, 7.2,"[3, 8, 9, 13]"
 1202, 2  8  10  12 , 18, 79.7%, 16.62, 7.61,"[2, 8, 10, 12]"
 1203, 3  9  9  11 , 18.04, 70.3%, 13.89, 7.63,"[3, 9, 9, 11]"
 1204, 9  9  9  12 , 18.34, 63.2%, 9.94, 6.8,"[9, 9, 9, 12]"
 1205, 2  6  7  10 , 18.41, 69.8%, 13.17, 7.37,"[2, 6, 7, 10]"
 1206, 2  6  8  9 , 18.49, 72.6%, 15.59, 6.67,"[2, 6, 8, 9]"
 1207, 4  5  6  9 , 18.58, 75.4%, 16.61, 7.13,"[4, 5, 6, 9]"
 1208, 8  10  12  13 , 18.62, 67.4%, 14.48, 6.42,"[8, 10, 12, 13]"
 1209, 3  4  8  13 , 18.64, 70%, 14.01, 8.04,"[3, 4, 8, 13]"
 1210, 2  6  9  10 , 18.65, 69.5%, 14.86, 6.86,"[2, 6, 9, 10]"
 1211, 3  5  12  13 , 18.72, 67.9%, 14.55, 6.61,"[3, 5, 12, 13]"
 1212, 2  4  7  8 , 19.06, 76.5%, 16.87, 7.22,"[2, 4, 7, 8]"
 1213, 4  8  9  12 , 19.09, 72.6%, 16.38, 6.87,"[4, 8, 9, 12]"
 1214, 2  3  10  10 , 19.37, 69.3%, 14.66, 7.63,"[2, 3, 10, 10]"
 1215, 2  7  10  12 , 19.57, 70.3%, 16.01, 7.12,"[2, 7, 10, 12]"
 1216, 2  2  9  10 , 19.62, 65%, 14.42, 7.4,"[2, 2, 9, 10]"
 1217, 3  5  9  10 , 19.63, 68%, 14.61, 7.77,"[3, 5, 9, 10]"
 1218, 2  2  4  4 , 19.67, 71.5%, 15.17, 8.23,"[2, 2, 4, 4]"
 1219, 2  2  4  12 , 19.69, 75.2%, 15.52, 9.35,"[2, 2, 4, 12]"
 1220, 6  8  8  9 , 19.71, 63.1%, 11.76, 7.19,"[6, 8, 8, 9]"
 1221, 8  10  12  12 , 19.71, 63.5%, 11.71, 7.42,"[8, 10, 12, 12]"
 1222, 1  3  3  8 , 19.85, 73.7%, 15.91, 7.96,"[1, 3, 3, 8]"
 1223, 2  3  11  11 , 19.95, 68%, 15.07, 7.74,"[2, 3, 11, 11]"
 1224, 1  5  7  10 , 20.39, 69.5%, 16.24, 7.61,"[1, 5, 7, 10]"
 1225, 7  8  8  10 , 20.41, 61.2%, 12.28, 7.85,"[7, 8, 8, 10]"
 1226, 2  3  9  12 , 20.47, 66.9%, 13.27, 7.73,"[2, 3, 9, 12]"
 1227, 1  3  8  11 , 20.57, 73.4%, 16.9, 8.22,"[1, 3, 8, 11]"
 1228, 6  8  10  11 , 20.61, 64.2%, 13.86, 7.41,"[6, 8, 10, 11]"
 1229, 3  5  10  11 , 20.8, 69.4%, 16.13, 8.44,"[3, 5, 10, 11]"
 1230, 5  9  12  13 , 20.83, 64.5%, 15.87, 7.16,"[5, 9, 12, 13]"
 1231, 3  6  9  13 , 21.15, 69.2%, 17.21, 7.64,"[3, 6, 9, 13]"
 1232, 1  2  8  10 , 21.16, 67.7%, 15.27, 7.92,"[1, 2, 8, 10]"
 1233, 2  7  12  12 , 21.23, 62.7%, 12.47, 7.56,"[2, 7, 12, 12]"
 1234, 10  10  10  12 , 21.27, 60.8%, 10.54, 7.09,"[10, 10, 10, 12]"
 1235, 2  3  3  5 , 21.35, 69.6%, 15.98, 8.67,"[2, 3, 3, 5]"
 1236, 9  11  12  12 , 21.36, 59.3%, 10.87, 6.56,"[9, 11, 12, 12]"
 1237, 4  4  8  9 , 21.39, 69.6%, 16.99, 8.43,"[4, 4, 8, 9]"
 1238, 3  3  7  8 , 21.42, 68.6%, 17.03, 8.23,"[3, 3, 7, 8]"
 1239, 1  6  10  12 , 21.43, 65.8%, 14.21, 8.01,"[1, 6, 10, 12]"
 1240, 2  3  5  8 , 21.45, 72.9%, 18.02, 7.77,"[2, 3, 5, 8]"
 1241, 3  5  7  11 , 21.54, 64.4%, 14.61, 7.93,"[3, 5, 7, 11]"
 1242, 4  5  7  10 , 22.19, 63.3%, 14.64, 8.07,"[4, 5, 7, 10]"
 1243, 5  7  10  13 , 22.5, 61.9%, 16.54, 7.41,"[5, 7, 10, 13]"
 1244, 2  9  10  10 , 22.59, 61.1%, 16.74, 7.48,"[2, 9, 10, 10]"
 1245, 2  4  5  10 , 23.05, 67.1%, 17.38, 8.13,"[2, 4, 5, 10]"
 1246, 2  3  6  8 , 23.31, 75.2%, 20.35, 8.98,"[2, 3, 6, 8]"
 1247, 5  9  11  13 , 23.47, 61.4%, 16.71, 7.78,"[5, 9, 11, 13]"
 1248, 3  4  5  13 , 23.86, 65.5%, 18, 8.57,"[3, 4, 5, 13]"
 1249, 1  5  9  12 , 24.06, 62.5%, 14.21, 8.87,"[1, 5, 9, 12]"
 1250, 5  7  9  10 , 24.61, 61%, 15.7, 8.71,"[5, 7, 9, 10]"
 1251, 4  10  11  12 , 24.71, 62.9%, 17.56, 8.9,"[4, 10, 11, 12]"
 1252, 2  4  5  5 , 24.88, 60.2%, 15.33, 8.48,"[2, 4, 5, 5]"
 1253, 6  6  7  11 , 24.95, 58%, 13.27, 8.2,"[6, 6, 7, 11]"
 1254, 2  2  5  8 , 25.09, 63.6%, 16.83, 9.28,"[2, 2, 5, 8]"
 1255, 3  4  4  4 , 25.18, 67.3%, 18.11, 9.9,"[3, 4, 4, 4]"
 1256, 2  5  10  12 , 25.25, 63.8%, 18.2, 8.85,"[2, 5, 10, 12]"
 1257, 5  6  6  9 , 25.35, 59.1%, 14.32, 8.9,"[5, 6, 6, 9]"
 1258, 8  8  9  12 , 25.37, 56.8%, 12.88, 7.74,"[8, 8, 9, 12]"
 1259, 4  9  10  12 , 25.54, 61.8%, 17.25, 9.18,"[4, 9, 10, 12]"
 1260, 2  2  6  11 , 25.58, 62.2%, 18.59, 8.65,"[2, 2, 6, 11]"
 1261, 8  9  11  11 , 25.65, 58.1%, 15.97, 8.43,"[8, 9, 11, 11]"
 1262, 3  4  7  8 , 25.67, 60.6%, 14.52, 8.36,"[3, 4, 7, 8]"
 1263, 3  5  10  10 , 25.94, 54%, 12.66, 6.82,"[3, 5, 10, 10]"
 1264, 3  9  11  13 , 26.39, 57.8%, 14.17, 8.57,"[3, 9, 11, 13]"
 1265, 5  6  7  9 , 26.58, 59.8%, 16.22, 9.19,"[5, 6, 7, 9]"
 1266, 4  7  8  10 , 26.69, 62.4%, 18.84, 9.21,"[4, 7, 8, 10]"
 1267, 2  6  9  9 , 27.18, 57.8%, 14.62, 8.36,"[2, 6, 9, 9]"
 1268, 2  3  13  13 , 27.37, 58.2%, 17.76, 9.7,"[2, 3, 13, 13]"
 1269, 1  7  12  13 , 27.91, 56.3%, 15.38, 9.39,"[1, 7, 12, 13]"
 1270, 1  4  9  13 , 28.04, 60.9%, 18.93, 10.12,"[1, 4, 9, 13]"
 1271, 4  10  10  11 , 28.25, 54.7%, 19.49, 9.17,"[4, 10, 10, 11]"
 1272, 3  4  5  11 , 28.39, 63.3%, 20.75, 10.05,"[3, 4, 5, 11]"
 1273, 3  3  6  6 , 28.56, 57.9%, 14.34, 8.46,"[3, 3, 6, 6]"
 1274, 4  5  9  12 , 29.43, 60.7%, 22.43, 10.37,"[4, 5, 9, 12]"
 1275, 6  6  9  13 , 29.54, 54%, 13.5, 8.65,"[6, 6, 9, 13]"
 1276, 2  3  7  9 , 30.64, 57.7%, 18.29, 10.09,"[2, 3, 7, 9]"
 1277, 4  4  7  13 , 31.22, 53.6%, 15.14, 9.49,"[4, 4, 7, 13]"
 1278, 2  2  7  10 , 31.56, 53.3%, 16.51, 8.87,"[2, 2, 7, 10]"
 1279, 2  5  12  13 , 31.62, 58.1%, 22.43, 10.05,"[2, 5, 12, 13]"
 1280, 1  4  6  10 , 32.59, 55.8%, 19.13, 9.62,"[1, 4, 6, 10]"
 1281, 3  6  7  10 , 33.02, 57.2%, 22.08, 10.52,"[3, 6, 7, 10]"
 1282, 1  2  7  7 , 33.11, 54.8%, 17.48, 10.35,"[1, 2, 7, 7]"
 1283, 2  5  8  12 , 33.72, 54.6%, 18.18, 10.05,"[2, 5, 8, 12]"
 1284, 3  8  10  12 , 34.69, 53.8%, 20.83, 10.62,"[3, 8, 10, 12]"
 1285, 2  5  7  9 , 35.29, 52.6%, 23.54, 10.34,"[2, 5, 7, 9]"
 1286, 2  2  3  10 , 35.46, 54.6%, 18.31, 10.38,"[2, 2, 3, 10]"
 1287, 2  4  7  7 , 35.82, 50.8%, 17.38, 9.72,"[2, 4, 7, 7]"
 1288, 6  7  11  11 , 35.83, 46.2%, 20, 10.28,"[6, 7, 11, 11]"
 1289, 2  2  6  9 , 36.61, 52%, 18.16, 10.21,"[2, 2, 6, 9]"
 1290, 7  9  11  12 , 37.08, 50%, 17.7, 10.63,"[7, 9, 11, 12]"
 1291, 4  7  9  11 , 37.27, 51.6%, 22.88, 11.25,"[4, 7, 9, 11]"
 1292, 2  2  3  5 , 39.24, 51.3%, 15.53, 8.9,"[2, 2, 3, 5]"
 1293, 5  5  8  11 , 39.27, 46.1%, 24.42, 11.05,"[5, 5, 8, 11]"
 1294, 3  6  6  10 , 39.78, 50%, 18.54, 10.7,"[3, 6, 6, 10]"
 1295, 5  10  10  11 , 41.33, 41.8%, 15.1, 7.13,"[5, 10, 10, 11]"
 1296, 7  8  9  12 , 42.42, 48.4%, 16.33, 10.29,"[7, 8, 9, 12]"
 1297, 1  5  11  11 , 42.43, 43.2%, 16.36, 10.02,"[1, 5, 11, 11]"
 1298, 1  2  9  11 , 46.26, 44.6%, 22.51, 12.39,"[1, 2, 9, 11]"
 1299, 1  7  13  13 , 47.38, 41.6%, 14.39, 8.79,"[1, 7, 13, 13]"
 1300, 4  9  11  11 , 47.38, 43.2%, 25.38, 14.03,"[4, 9, 11, 11]"
 1301, 1  5  5  5 , 47.4, 43.4%, 12.16, 7.44,"[1, 5, 5, 5]"
 1302, 5  9  10  11 , 47.59, 42.8%, 28.38, 13.51,"[5, 9, 10, 11]"
 1303, 6  7  7  11 , 48.69, 42.6%, 27.79, 14.58,"[6, 7, 7, 11]"
 1304, 5  10  10  13 , 49.77, 38.7%, 17.25, 8.01,"[5, 10, 10, 13]"
 1305, 3  3  7  7 , 49.97, 40.8%, 12.87, 7.64,"[3, 3, 7, 7]"
 1306, 3  5  8  13 , 51.19, 42%, 30.59, 14.14,"[3, 5, 8, 13]"
 1307, 8  9  10  12 , 51.24, 42.6%, 22.35, 14.18,"[8, 9, 10, 12]"
 1308, 2  5  6  9 , 54.11, 44%, 27.58, 13.77,"[2, 5, 6, 9]"
 1309, 1  6  11  13 , 54.19, 38.4%, 18.68, 10.08,"[1, 6, 11, 13]"
 1310, 1  3  9  10 , 56.55, 40.8%, 23.14, 12.28,"[1, 3, 9, 10]"
 1311, 4  6  6  10 , 56.81, 40.5%, 23.17, 12.68,"[4, 6, 6, 10]"
 1312, 2  2  11  11 , 57.91, 40%, 13.52, 8.93,"[2, 2, 11, 11]"
 1313, 4  4  7  7 , 58.56, 38.7%, 14.78, 8.29,"[4, 4, 7, 7]"
 1314, 5  7  9  12 , 58.94, 39.4%, 17.79, 11.42,"[5, 7, 9, 12]"
 1315, 4  5  6  12 , 59.29, 44.1%, 21.83, 16.03,"[4, 5, 6, 12]"
 1316, 4  6  7  9 , 59.92, 41.8%, 19.77, 12.44,"[4, 6, 7, 9]"
 1317, 4  4  10  10 , 60.61, 39.9%, 13.39, 8.95,"[4, 4, 10, 10]"
 1318, 4  7  11  13 , 61.18, 37.2%, 31.12, 16.58,"[4, 7, 11, 13]"
 1319, 6  12  12  13 , 63.01, 37.7%, 15.59, 8.67,"[6, 12, 12, 13]"
 1320, 3  5  8  12 , 63.09, 37.9%, 27.97, 13.53,"[3, 5, 8, 12]"
 1321, 3  4  6  13 , 63.44, 40.2%, 20.65, 11.96,"[3, 4, 6, 13]"
 1322, 4  5  6  11 , 63.72, 37.6%, 19.74, 11.16,"[4, 5, 6, 11]"
 1323, 6  7  8  12 , 64.15, 40.6%, 17.34, 12.58,"[6, 7, 8, 12]"
 1324, 5  7  10  11 , 64.89, 36%, 24.7, 13.77,"[5, 7, 10, 11]"
 1325, 5  8  9  13 , 65, 35.1%, 34.25, 16.21,"[5, 8, 9, 13]"
 1326, 6  11  12  12 , 66.33, 36.2%, 15.77, 9.3,"[6, 11, 12, 12]"
 1327, 2  4  11  12 , 66.78, 39.1%, 24.18, 13.85,"[2, 4, 11, 12]"
 1328, 2  2  13  13 , 66.8, 37.1%, 14.46, 8.65,"[2, 2, 13, 13]"
 1329, 7  10  12  13 , 68.07, 37.8%, 22.53, 12.97,"[7, 10, 12, 13]"
 1330, 5  6  8  13 , 70.59, 36%, 22.79, 11.65,"[5, 6, 8, 13]"
 1331, 2  7  8  9 , 70.81, 39.4%, 18.78, 11.39,"[2, 7, 8, 9]"
 1332, 2  2  6  13 , 73.55, 33.4%, 31.21, 16.82,"[2, 2, 6, 13]"
 1333, 1  4  7  11 , 75.12, 35.4%, 30.09, 16.56,"[1, 4, 7, 11]"
 1334, 5  6  9  11 , 75.21, 33.5%, 26.41, 15.26,"[5, 6, 9, 11]"
 1335, 6  9  9  10 , 80.98, 31.7%, 33.11, 18.94,"[6, 9, 9, 10]"
 1336, 7  8  8  13 , 84.82, 29.7%, 27.07, 14.99,"[7, 8, 8, 13]"
 1337, 2  5  7  8 , 85.16, 32.8%, 28.77, 15.99,"[2, 5, 7, 8]"
 1338, 4  8  8  13 , 88.89, 29.1%, 24.82, 14.56,"[4, 8, 8, 13]"
 1339, 2  7  7  10 , 89.44, 27.1%, 27.4, 13.23,"[2, 7, 7, 10]"
 1340, 3  3  7  13 , 90.79, 27.2%, 32.73, 18.51,"[3, 3, 7, 13]"
 1341, 3  8  8  10 , 90.79, 28.9%, 25.56, 16.11,"[3, 8, 8, 10]"
 1342, 4  8  8  11 , 92.89, 29.9%, 23.49, 14.04,"[4, 8, 8, 11]"
 1343, 5  7  7  11 , 94.78, 27%, 25.82, 13.17,"[5, 7, 7, 11]"
 1344, 5  5  7  11 , 95.73, 26.1%, 25.98, 13.59,"[5, 5, 7, 11]"
 1345, 2  2  10  11 , 96.37, 30.4%, 26.17, 16.97,"[2, 2, 10, 11]"
 1346, 7  8  10  11 , 97.01, 29.6%, 23.92, 14.06,"[7, 8, 10, 11]"
 1347, 2  3  8  13 , 97.68, 31.7%, 24, 13.07,"[2, 3, 8, 13]"
 1348, 9  11  12  13 , 99.42, 28.1%, 21.91, 13.1,"[9, 11, 12, 13]"
 1349, 1  6  6  8 , 105.67, 29.1%, 22.01, 13.53,"[1, 6, 6, 8]"
 1350, 1  8  12  12 , 106.72, 28.8%, 20.55, 13.42,"[1, 8, 12, 12]"
 1351, 3  3  5  7 , 108.58, 29.1%, 28.8, 18.5,"[3, 3, 5, 7]"
 1352, 3  7  9  13 , 111.27, 26%, 40.38, 22.19,"[3, 7, 9, 13]"
 1353, 2  9  13  13 , 113.44, 24.8%, 31.05, 19.59,"[2, 9, 13, 13]"
 1354, 2  4  7  12 , 113.89, 28%, 29.86, 17.39,"[2, 4, 7, 12]"
 1355, 3  6  6  11 , 114.68, 26.9%, 25.31, 15.58,"[3, 6, 6, 11]"
 1356, 3  3  8  8 , 114.83, 30.2%, 15.67, 10.63,"[3, 3, 8, 8]"
 1357, 2  4  10  10 , 117.57, 25.4%, 29.43, 19.27,"[2, 4, 10, 10]"
 1358, 3  5  7  13 , 126.59, 23.5%, 38.76, 21.18,"[3, 5, 7, 13]"
 1359, 2  5  5  10 , 192.09, 21.6%, 24.08, 16.62,"[2, 5, 5, 10]"
 1360, 1  4  5  6 , 197.94, 28.4%, 18.46, 12,"[1, 4, 5, 6]"
 1361, 1  3  4  6 , 203.75, 26.8%, 19.94, 12.36,"[1, 3, 4, 6]"
 1362, 2  3  5  12 , 209.01, 20.5%, 29.7, 22.37,"[2, 3, 5, 12]"
